trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.2, 'e': 0.4199999999999995}",30,0,-8.951254149502658,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.2, 'e': 0.4149999999999995}",25,7,7.930811377823335,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.4099999999999995}",20,0,-63.46883809327073,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.40499999999999947}",35,1,-45.20318066272033,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.39999999999999947}",25,0,-55.779306448168455,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.2, 'e': 0.39499999999999946}",30,0,-51.85964884319352,"{0: 24, 1: 2, 2: 1, 3: 3, 4: 0}",0
122,False,"{'a': 0.2, 'e': 0.38999999999999946}",25,0,-8.0341057647804,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.2, 'e': 0.38499999999999945}",30,3,-102.98989906718106,"{0: 20, 1: 0, 2: 3, 3: 3, 4: 1}",1
124,False,"{'a': 0.2, 'e': 0.37999999999999945}",20,15,-0.7222270755185844,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.37499999999999944}",25,8,-23.613801371653388,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.2, 'e': 0.36999999999999944}",20,0,-0.8655091403965499,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.2, 'e': 0.36499999999999944}",30,22,6.337515701630571,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.35999999999999943}",20,10,-26.732646761415076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.2, 'e': 0.3549999999999994}",25,19,4.116947213225892,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.3499999999999994}",25,0,-48.17011796988541,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.2, 'e': 0.3449999999999994}",20,0,9.885525253771537,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.2, 'e': 0.3399999999999994}",20,2,-28.992559418635068,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.2, 'e': 0.3349999999999994}",20,8,-81.28996357590248,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
134,False,"{'a': 0.2, 'e': 0.3299999999999994}",25,0,-32.40486713974761,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
135,False,"{'a': 0.2, 'e': 0.3249999999999994}",25,0,3.910044060698308,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.2, 'e': 0.3199999999999994}",20,10,-2.971878422746811,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
